anchor_strategy,transform,top_k,query_count,anchor_count,anchor_seconds,transform_seconds,eval_seconds,pool_size,mean_recall,all_top_k_contained,any_hit
farthest_random,row_zscore,10,1000,256,0.10938459995668381,0.05482990003656596,0.283583200071007,25,0.8234000000000001,0.317,1.0
farthest_random,row_zscore,10,1000,256,0.10938459995668381,0.05482990003656596,0.283583200071007,50,0.9065,0.532,1.0
farthest_random,row_zscore,10,1000,256,0.10938459995668381,0.05482990003656596,0.283583200071007,75,0.9382,0.652,1.0
farthest_random,row_zscore,10,1000,256,0.10938459995668381,0.05482990003656596,0.283583200071007,100,0.956,0.743,1.0
farthest_random,row_zscore,10,1000,256,0.10938459995668381,0.05482990003656596,0.283583200071007,250,0.985,0.889,1.0
farthest_random,raw,10,1000,256,0.10938459995668381,0.04875199997331947,0.27275090001057833,25,0.8156,0.295,1.0
farthest_random,raw,10,1000,256,0.10938459995668381,0.04875199997331947,0.27275090001057833,50,0.9025,0.521,1.0
farthest_random,raw,10,1000,256,0.10938459995668381,0.04875199997331947,0.27275090001057833,75,0.9359000000000001,0.633,1.0
farthest_random,raw,10,1000,256,0.10938459995668381,0.04875199997331947,0.27275090001057833,100,0.9508000000000001,0.702,1.0
farthest_random,raw,10,1000,256,0.10938459995668381,0.04875199997331947,0.27275090001057833,250,0.9824,0.871,1.0
farthest_random,rank,10,1000,256,0.10938459995668381,0.18166020000353456,0.2883951000403613,25,0.7882,0.262,0.998
farthest_random,rank,10,1000,256,0.10938459995668381,0.18166020000353456,0.2883951000403613,50,0.8774000000000001,0.45,1.0
farthest_random,rank,10,1000,256,0.10938459995668381,0.18166020000353456,0.2883951000403613,75,0.919,0.587,1.0
farthest_random,rank,10,1000,256,0.10938459995668381,0.18166020000353456,0.2883951000403613,100,0.9376000000000001,0.654,1.0
farthest_random,rank,10,1000,256,0.10938459995668381,0.18166020000353456,0.2883951000403613,250,0.9776000000000001,0.842,1.0
kmeans_boundary,row_zscore,10,1000,256,20.858138700015843,0.03784159990027547,0.1960827000439167,25,0.8092,0.286,1.0
kmeans_boundary,row_zscore,10,1000,256,20.858138700015843,0.03784159990027547,0.1960827000439167,50,0.8959,0.522,1.0
kmeans_boundary,row_zscore,10,1000,256,20.858138700015843,0.03784159990027547,0.1960827000439167,75,0.9299000000000001,0.633,1.0
kmeans_boundary,row_zscore,10,1000,256,20.858138700015843,0.03784159990027547,0.1960827000439167,100,0.9497000000000001,0.71,1.0
kmeans_boundary,row_zscore,10,1000,256,20.858138700015843,0.03784159990027547,0.1960827000439167,250,0.9835,0.878,1.0
kmeans_boundary,raw,10,1000,256,20.858138700015843,0.029856500099413097,0.3371753999963403,25,0.7898,0.264,1.0
kmeans_boundary,raw,10,1000,256,20.858138700015843,0.029856500099413097,0.3371753999963403,50,0.8825,0.451,1.0
kmeans_boundary,raw,10,1000,256,20.858138700015843,0.029856500099413097,0.3371753999963403,75,0.9211000000000001,0.574,1.0
kmeans_boundary,raw,10,1000,256,20.858138700015843,0.029856500099413097,0.3371753999963403,100,0.9409000000000001,0.657,1.0
kmeans_boundary,raw,10,1000,256,20.858138700015843,0.029856500099413097,0.3371753999963403,250,0.9802000000000001,0.858,1.0
kmeans_boundary,rank,10,1000,256,20.858138700015843,0.13233330007642508,0.1956013001035899,25,0.7789,0.236,1.0
kmeans_boundary,rank,10,1000,256,20.858138700015843,0.13233330007642508,0.1956013001035899,50,0.8736,0.456,1.0
kmeans_boundary,rank,10,1000,256,20.858138700015843,0.13233330007642508,0.1956013001035899,75,0.9117000000000001,0.57,1.0
kmeans_boundary,rank,10,1000,256,20.858138700015843,0.13233330007642508,0.1956013001035899,100,0.9342,0.649,1.0
kmeans_boundary,rank,10,1000,256,20.858138700015843,0.13233330007642508,0.1956013001035899,250,0.9769000000000001,0.845,1.0
density_sparse,row_zscore,10,1000,256,3.3887189000379294,0.044328800053335726,0.18674449995160103,25,0.7860999999999999,0.269,1.0
density_sparse,row_zscore,10,1000,256,3.3887189000379294,0.044328800053335726,0.18674449995160103,50,0.8763000000000001,0.442,1.0
density_sparse,row_zscore,10,1000,256,3.3887189000379294,0.044328800053335726,0.18674449995160103,75,0.9166,0.567,1.0
density_sparse,row_zscore,10,1000,256,3.3887189000379294,0.044328800053335726,0.18674449995160103,100,0.9386,0.658,1.0
density_sparse,row_zscore,10,1000,256,3.3887189000379294,0.044328800053335726,0.18674449995160103,250,0.979,0.848,1.0
density_sparse,raw,10,1000,256,3.3887189000379294,0.016034899977967143,0.18095810001250356,25,0.7812,0.239,1.0
density_sparse,raw,10,1000,256,3.3887189000379294,0.016034899977967143,0.18095810001250356,50,0.8737,0.432,1.0
density_sparse,raw,10,1000,256,3.3887189000379294,0.016034899977967143,0.18095810001250356,75,0.9120000000000001,0.536,1.0
density_sparse,raw,10,1000,256,3.3887189000379294,0.016034899977967143,0.18095810001250356,100,0.9341000000000002,0.626,1.0
density_sparse,raw,10,1000,256,3.3887189000379294,0.016034899977967143,0.18095810001250356,250,0.9770000000000001,0.84,1.0
density_sparse,rank,10,1000,256,3.3887189000379294,0.17291389999445528,0.17100749991368502,25,0.7547999999999999,0.236,0.999
density_sparse,rank,10,1000,256,3.3887189000379294,0.17291389999445528,0.17100749991368502,50,0.8535000000000001,0.408,1.0
density_sparse,rank,10,1000,256,3.3887189000379294,0.17291389999445528,0.17100749991368502,75,0.8929000000000001,0.502,1.0
density_sparse,rank,10,1000,256,3.3887189000379294,0.17291389999445528,0.17100749991368502,100,0.9205,0.588,1.0
density_sparse,rank,10,1000,256,3.3887189000379294,0.17291389999445528,0.17100749991368502,250,0.9721000000000002,0.807,1.0
multi_scale,row_zscore,10,1000,256,4.954005599953234,0.031886700075119734,0.3070074000861496,25,0.7941,0.265,1.0
