model,embedding_file,embedding_dim,doc_count,query_count,strategy,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,anchor_select_seconds,signature_build_seconds,search_ms_per_query
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,1000,0.9977,0.977,1.0,0.00024089997168630362,0.021236500004306436,0.8065455999458209
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,50,0.8457,0.3,1.0,0.0002359000500291586,0.03478099999483675,0.7059171999571845
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,100,0.923,0.533,1.0,0.0002359000500291586,0.03478099999483675,0.7059171999571845
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,250,0.9778000000000001,0.829,1.0,0.0002359000500291586,0.03478099999483675,0.7059171999571845
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,500,0.9937,0.947,1.0,0.0002359000500291586,0.03478099999483675,0.7059171999571845
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,1000,0.9987,0.987,1.0,0.0002359000500291586,0.03478099999483675,0.7059171999571845
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,50,0.8614,0.317,1.0,0.09509800001978874,0.016248399973846972,0.8620554000372067
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,100,0.9289000000000001,0.54,1.0,0.09509800001978874,0.016248399973846972,0.8620554000372067
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,250,0.9772000000000001,0.82,1.0,0.09509800001978874,0.016248399973846972,0.8620554000372067
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,500,0.9932000000000001,0.938,1.0,0.09509800001978874,0.016248399973846972,0.8620554000372067
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,1000,0.9984,0.984,1.0,0.09509800001978874,0.016248399973846972,0.8620554000372067
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,50,0.8729000000000001,0.36,1.0,0.28201730002183467,0.027874400024302304,0.7707579999696463
