model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.9990000000000001,0.99,1.0,0.9329376250025234,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,1000,0.999875,0.99875,1.0,0.9329376250025234,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,10,0.529875,0.00625,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,25,0.758375,0.12875,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,50,0.8811250000000002,0.3675,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,100,0.95625,0.7025,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,250,0.9930000000000001,0.93625,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,500,0.9992500000000001,0.9925,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,1000,1.0,1.0,1.0,0.9165147499970772,23.90995959999782,2.7151312828063965
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.48950000000000005,0.00625,0.99875,0.9205518750013653,0.0,2.602038621902466
