anchor_count,mrr_vs_absolute,spearman_vs_absolute,top1_overlap_vs_absolute
8,0.45621746031746035,0.41812744569920174,0.161
16,0.7247603174603175,0.5289538584524792,0.327
32,0.862147619047619,0.5965565911036302,0.456
64,0.9148908730158731,0.6800888302969473,0.518
128,0.9614880952380952,0.758146197064796,0.61
256,0.9715166666666667,0.8103388533157295,0.629
