expansion_fraction,baseline_docs,full_docs,stable_anchor_drift,refit_anchor_drift
0.1,60,66,0.0,0.00038558244705200195
0.25,60,75,0.0,0.0005053877830505371
0.5,60,90,0.0,0.0004178285598754883
1.0,60,120,0.0,0.0006366968154907227
