expansion_fraction,baseline_docs,full_docs,stable_anchor_drift,refit_anchor_drift
0.1,500,550,0.0,0.008138954639434814
0.25,500,625,0.0,0.007796764373779297
0.5,500,750,0.0,0.007619142532348633
1.0,500,1000,0.0,0.008024513721466064
