model_a,model_b,absolute_mrr,relative_mrr,delta_mrr,absolute_spearman,relative_spearman,absolute_top1_overlap,relative_top1_overlap
microsoft/codebert-base,Salesforce/codet5-small,0.8669444444444444,0.617146164021164,-0.24979828042328045,0.7436278855320747,0.7115731445391196,0.39166666666666666,0.11666666666666667
microsoft/codebert-base,microsoft/unixcoder-base,0.7513029100529101,0.5153736772486772,-0.23592923280423284,0.32424869016361346,0.41120377560169674,0.35,0.1
Salesforce/codet5-small,microsoft/unixcoder-base,0.7824503968253967,0.5745171957671958,-0.2079332010582009,0.3725409495349703,0.5155099540991774,0.36666666666666664,0.19166666666666668
