anchor_strategy,transform,top_k,query_count,anchor_count,anchor_seconds,transform_seconds,eval_seconds,pool_size,mean_recall,all_top_k_contained,any_hit
random,raw,10,1000,256,0.00011030002497136593,0.021734299953095615,0.3176651999820024,100,0.9053000000000001,0.538,1.0
random,raw,10,1000,256,0.00011030002497136593,0.021734299953095615,0.3176651999820024,250,0.9592999999999999,0.746,1.0
random,raw,10,1000,256,0.00011030002497136593,0.021734299953095615,0.3176651999820024,500,0.9785,0.853,1.0
random,centered,10,1000,256,0.00011030002497136593,0.028084899997338653,0.20831060002092272,100,0.6078,0.076,0.975
random,centered,10,1000,256,0.00011030002497136593,0.028084899997338653,0.20831060002092272,250,0.6842,0.159,0.985
random,centered,10,1000,256,0.00011030002497136593,0.028084899997338653,0.20831060002092272,500,0.7378000000000001,0.26,0.988
random,zscore,10,1000,256,0.00011030002497136593,0.043933099950663745,0.26618269993923604,100,0.6119000000000001,0.083,0.973
random,zscore,10,1000,256,0.00011030002497136593,0.043933099950663745,0.26618269993923604,250,0.6861,0.163,0.986
random,zscore,10,1000,256,0.00011030002497136593,0.043933099950663745,0.26618269993923604,500,0.7370999999999999,0.254,0.988
random,row_zscore,10,1000,256,0.00011030002497136593,0.041110599995590746,0.21571010001935065,100,0.9147000000000001,0.567,1.0
random,row_zscore,10,1000,256,0.00011030002497136593,0.041110599995590746,0.21571010001935065,250,0.9649000000000001,0.781,1.0
random,row_zscore,10,1000,256,0.00011030002497136593,0.041110599995590746,0.21571010001935065,500,0.9834,0.88,1.0
random,rank,10,1000,256,0.00011030002497136593,0.09321399999316782,0.22301549999974668,100,0.8966000000000002,0.523,1.0
random,rank,10,1000,256,0.00011030002497136593,0.09321399999316782,0.22301549999974668,250,0.9521000000000002,0.721,1.0
random,rank,10,1000,256,0.00011030002497136593,0.09321399999316782,0.22301549999974668,500,0.9768000000000001,0.838,1.0
random,top32,10,1000,256,0.00011030002497136593,0.10639860003720969,0.2184893999947235,100,0.7062,0.174,1.0
random,top32,10,1000,256,0.00011030002497136593,0.10639860003720969,0.2184893999947235,250,0.8316,0.342,1.0
random,top32,10,1000,256,0.00011030002497136593,0.10639860003720969,0.2184893999947235,500,0.9067000000000001,0.546,1.0
random,top64,10,1000,256,0.00011030002497136593,0.10217610001564026,0.26944100006949157,100,0.7639000000000001,0.245,0.998
random,top64,10,1000,256,0.00011030002497136593,0.10217610001564026,0.26944100006949157,250,0.873,0.448,1.0
random,top64,10,1000,256,0.00011030002497136593,0.10217610001564026,0.26944100006949157,500,0.9306,0.626,1.0
random,binary_top32,10,1000,256,0.00011030002497136593,0.112501599942334,0.2138978000730276,100,0.676,0.136,1.0
random,binary_top32,10,1000,256,0.00011030002497136593,0.112501599942334,0.2138978000730276,250,0.8087000000000001,0.3,1.0
random,binary_top32,10,1000,256,0.00011030002497136593,0.112501599942334,0.2138978000730276,500,0.8926000000000002,0.497,1.0
random,softmax_0.05,10,1000,256,0.00011030002497136593,0.038732599932700396,0.25298500002827495,100,0.7661000000000001,0.23,1.0
random,softmax_0.05,10,1000,256,0.00011030002497136593,0.038732599932700396,0.25298500002827495,250,0.8567,0.397,1.0
random,softmax_0.05,10,1000,256,0.00011030002497136593,0.038732599932700396,0.25298500002827495,500,0.9008999999999999,0.506,1.0
random,softmax_0.1,10,1000,256,0.00011030002497136593,0.038469400024041533,0.21646609995514154,100,0.8359000000000001,0.321,1.0
random,softmax_0.1,10,1000,256,0.00011030002497136593,0.038469400024041533,0.21646609995514154,250,0.9013000000000001,0.486,1.0
random,softmax_0.1,10,1000,256,0.00011030002497136593,0.038469400024041533,0.21646609995514154,500,0.9311000000000001,0.58,1.0
random,sign_centered,10,1000,256,0.00011030002497136593,0.03095669997856021,0.2145617000060156,100,0.4727,0.034,0.945
random,sign_centered,10,1000,256,0.00011030002497136593,0.03095669997856021,0.2145617000060156,250,0.5912999999999999,0.083,0.982
random,sign_centered,10,1000,256,0.00011030002497136593,0.03095669997856021,0.2145617000060156,500,0.6832,0.159,0.994
language_random,raw,10,1000,256,0.008859399938955903,0.01611839991528541,0.2176421000622213,100,0.9071,0.55,1.0
language_random,raw,10,1000,256,0.008859399938955903,0.01611839991528541,0.2176421000622213,250,0.9556000000000001,0.738,1.0
language_random,raw,10,1000,256,0.008859399938955903,0.01611839991528541,0.2176421000622213,500,0.9783,0.855,1.0
language_random,centered,10,1000,256,0.008859399938955903,0.03056380001362413,0.2864032000070438,100,0.6095,0.089,0.976
language_random,centered,10,1000,256,0.008859399938955903,0.03056380001362413,0.2864032000070438,250,0.6852,0.178,0.986
language_random,centered,10,1000,256,0.008859399938955903,0.03056380001362413,0.2864032000070438,500,0.7377,0.267,0.991
language_random,zscore,10,1000,256,0.008859399938955903,0.04759250010829419,0.28223680006340146,100,0.6123999999999999,0.091,0.975
language_random,zscore,10,1000,256,0.008859399938955903,0.04759250010829419,0.28223680006340146,250,0.6842999999999999,0.172,0.986
language_random,zscore,10,1000,256,0.008859399938955903,0.04759250010829419,0.28223680006340146,500,0.735,0.268,0.993
language_random,row_zscore,10,1000,256,0.008859399938955903,0.05454939999617636,0.2943099000258371,100,0.9136,0.577,1.0
language_random,row_zscore,10,1000,256,0.008859399938955903,0.05454939999617636,0.2943099000258371,250,0.9619,0.772,1.0
language_random,row_zscore,10,1000,256,0.008859399938955903,0.05454939999617636,0.2943099000258371,500,0.9796000000000001,0.86,1.0
language_random,rank,10,1000,256,0.008859399938955903,0.08432799996808171,0.32646270003169775,100,0.8981,0.53,1.0
language_random,rank,10,1000,256,0.008859399938955903,0.08432799996808171,0.32646270003169775,250,0.9545,0.743,1.0
language_random,rank,10,1000,256,0.008859399938955903,0.08432799996808171,0.32646270003169775,500,0.9748000000000001,0.84,1.0
language_random,top32,10,1000,256,0.008859399938955903,0.12789570004679263,0.28667209995910525,100,0.7204,0.205,0.997
language_random,top32,10,1000,256,0.008859399938955903,0.12789570004679263,0.28667209995910525,250,0.8397,0.388,0.999
language_random,top32,10,1000,256,0.008859399938955903,0.12789570004679263,0.28667209995910525,500,0.9127000000000001,0.574,1.0
language_random,top64,10,1000,256,0.008859399938955903,0.13864450005348772,0.43647869990672916,100,0.7653000000000001,0.265,0.999
language_random,top64,10,1000,256,0.008859399938955903,0.13864450005348772,0.43647869990672916,250,0.875,0.454,1.0
language_random,top64,10,1000,256,0.008859399938955903,0.13864450005348772,0.43647869990672916,500,0.9317000000000001,0.637,1.0
