query_count,top_k,pool,mean_candidate_recall,all_top_k_contained,candidate_ms_per_query
1000,10,50,0.9053,0.526,1.286193500040099
1000,10,100,0.9554000000000001,0.72,1.3992322999984026
1000,10,250,0.985,0.883,3.012122500105761
1000,10,500,0.9947,0.952,2.4264557000715286
