model,embedding_file,embedding_dim,doc_count,query_count,strategy,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,anchor_select_seconds,signature_build_seconds,search_ms_per_query
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,50,0.8687,0.35,1.0,0.18482249998487532,0.030031700036488473,1.0857368999859318
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,100,0.9471000000000002,0.643,1.0,0.18482249998487532,0.030031700036488473,1.0857368999859318
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,250,0.9886000000000001,0.901,1.0,0.18482249998487532,0.030031700036488473,1.0857368999859318
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,500,0.9975,0.976,1.0,0.18482249998487532,0.030031700036488473,1.0857368999859318
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,1000,0.9997,0.997,1.0,0.18482249998487532,0.030031700036488473,1.0857368999859318
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,50,0.8486000000000001,0.323,1.0,0.12810699990950525,0.0460377000272274,0.9563936999766156
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,100,0.9349000000000001,0.607,1.0,0.12810699990950525,0.0460377000272274,0.9563936999766156
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,250,0.9857,0.884,1.0,0.12810699990950525,0.0460377000272274,0.9563936999766156
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,500,0.9974000000000001,0.974,1.0,0.12810699990950525,0.0460377000272274,0.9563936999766156
intfloat/e5-small-v2,experiments\robustness_3k_general\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,1000,0.9995999999999999,0.996,1.0,0.12810699990950525,0.0460377000272274,0.9563936999766156
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,50,0.8259000000000001,0.258,1.0,0.0001233000075444579,0.02242089994251728,0.8904676000820473
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,100,0.9039,0.457,1.0,0.0001233000075444579,0.02242089994251728,0.8904676000820473
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,250,0.9666000000000001,0.751,1.0,0.0001233000075444579,0.02242089994251728,0.8904676000820473
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,500,0.9905,0.918,1.0,0.0001233000075444579,0.02242089994251728,0.8904676000820473
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,1000,0.9977,0.977,1.0,0.0001233000075444579,0.02242089994251728,0.8904676000820473
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,50,0.8457,0.3,1.0,0.00010549998842179775,0.060674000065773726,0.6902628999669105
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,100,0.923,0.533,1.0,0.00010549998842179775,0.060674000065773726,0.6902628999669105
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,250,0.9778000000000001,0.829,1.0,0.00010549998842179775,0.060674000065773726,0.6902628999669105
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,500,0.9937,0.947,1.0,0.00010549998842179775,0.060674000065773726,0.6902628999669105
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,1000,0.9987,0.987,1.0,0.00010549998842179775,0.060674000065773726,0.6902628999669105
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,50,0.8614,0.317,1.0,0.11420969991013408,0.023522900068201125,0.8109373999759555
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,100,0.9289000000000001,0.54,1.0,0.11420969991013408,0.023522900068201125,0.8109373999759555
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,250,0.9772000000000001,0.82,1.0,0.11420969991013408,0.023522900068201125,0.8109373999759555
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,500,0.9932000000000001,0.938,1.0,0.11420969991013408,0.023522900068201125,0.8109373999759555
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,1000,0.9984,0.984,1.0,0.11420969991013408,0.023522900068201125,0.8109373999759555
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,50,0.8729000000000001,0.36,1.0,0.1314922000747174,0.04626510001253337,0.8069492999929935
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,100,0.9355,0.594,1.0,0.1314922000747174,0.04626510001253337,0.8069492999929935
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,250,0.9824,0.863,1.0,0.1314922000747174,0.04626510001253337,0.8069492999929935
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,500,0.9962000000000001,0.964,1.0,0.1314922000747174,0.04626510001253337,0.8069492999929935
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,1000,0.9997999999999999,0.998,1.0,0.1314922000747174,0.04626510001253337,0.8069492999929935
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,50,0.8584,0.351,1.0,0.00017040001694113016,0.01945159991737455,1.0252454999135807
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,100,0.926,0.585,1.0,0.00017040001694113016,0.01945159991737455,1.0252454999135807
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,250,0.9746,0.819,1.0,0.00017040001694113016,0.01945159991737455,1.0252454999135807
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,500,0.9909000000000001,0.923,1.0,0.00017040001694113016,0.01945159991737455,1.0252454999135807
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,1000,0.9987,0.988,1.0,0.00017040001694113016,0.01945159991737455,1.0252454999135807
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,50,0.8656,0.372,1.0,0.0001976999919861555,0.03912960004527122,0.817216599942185
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,100,0.9299,0.578,1.0,0.0001976999919861555,0.03912960004527122,0.817216599942185
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,250,0.9777,0.837,1.0,0.0001976999919861555,0.03912960004527122,0.817216599942185
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,500,0.9928,0.939,1.0,0.0001976999919861555,0.03912960004527122,0.817216599942185
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,1000,0.999,0.991,1.0,0.0001976999919861555,0.03912960004527122,0.817216599942185
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,50,0.9069,0.471,1.0,0.18050769995898008,0.027071200078353286,0.9009130999911577
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,100,0.9582999999999999,0.715,1.0,0.18050769995898008,0.027071200078353286,0.9009130999911577
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,250,0.9884,0.903,1.0,0.18050769995898008,0.027071200078353286,0.9009130999911577
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,500,0.9980999999999999,0.983,1.0,0.18050769995898008,0.027071200078353286,0.9009130999911577
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,1000,0.9994000000000001,0.995,1.0,0.18050769995898008,0.027071200078353286,0.9009130999911577
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,50,0.9015,0.478,1.0,0.1511430999962613,0.04598950000945479,0.7023524000542238
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,100,0.955,0.701,1.0,0.1511430999962613,0.04598950000945479,0.7023524000542238
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,250,0.9889,0.908,1.0,0.1511430999962613,0.04598950000945479,0.7023524000542238
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,500,0.9983,0.983,1.0,0.1511430999962613,0.04598950000945479,0.7023524000542238
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,1000,0.9999,0.999,1.0,0.1511430999962613,0.04598950000945479,0.7023524000542238
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_raw,256,10,50,0.5471,0.013,0.999,0.00037080002948641777,0.03739620000123978,1.0618144000181928
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_raw,256,10,100,0.6738,0.06,1.0,0.00037080002948641777,0.03739620000123978,1.0618144000181928
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_raw,256,10,250,0.8414,0.304,1.0,0.00037080002948641777,0.03739620000123978,1.0618144000181928
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_raw,256,10,500,0.9402,0.621,1.0,0.00037080002948641777,0.03739620000123978,1.0618144000181928
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_raw,256,10,1000,0.9902000000000001,0.922,1.0,0.00037080002948641777,0.03739620000123978,1.0618144000181928
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_row_zscore,256,10,50,0.6287999999999999,0.036,1.0,0.00012440001592040062,0.05483389995060861,0.7635521999327466
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_row_zscore,256,10,100,0.7447,0.117,1.0,0.00012440001592040062,0.05483389995060861,0.7635521999327466
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_row_zscore,256,10,250,0.8708000000000001,0.356,1.0,0.00012440001592040062,0.05483389995060861,0.7635521999327466
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_row_zscore,256,10,500,0.9485,0.661,1.0,0.00012440001592040062,0.05483389995060861,0.7635521999327466
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,random_row_zscore,256,10,1000,0.9898,0.916,1.0,0.00012440001592040062,0.05483389995060861,0.7635521999327466
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_raw,256,10,50,0.5969000000000001,0.02,0.998,0.22416700003668666,0.024890100001357496,0.9229664000449702
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_raw,256,10,100,0.7221000000000001,0.091,0.999,0.22416700003668666,0.024890100001357496,0.9229664000449702
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_raw,256,10,250,0.8753000000000001,0.385,1.0,0.22416700003668666,0.024890100001357496,0.9229664000449702
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_raw,256,10,500,0.9525000000000001,0.696,1.0,0.22416700003668666,0.024890100001357496,0.9229664000449702
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_raw,256,10,1000,0.9919000000000001,0.934,1.0,0.22416700003668666,0.024890100001357496,0.9229664000449702
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_row_zscore,256,10,50,0.6855999999999999,0.062,1.0,0.18622579996008426,0.038027600036002696,0.7427811999805272
sentence-transformers/paraphrase-albert-small-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__paraphrase_albert_small_v2_n3000_tok160.npy,768,3000,1000,farthest_row_zscore,256,10,100,0.7908000000000001,0.162,1.0,0.18622579996008426,0.038027600036002696,0.7427811999805272
