model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.48200000000000004,0.005,0.995,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.6871250000000001,0.0775,0.99875,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8165,0.23,1.0,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9030000000000001,0.4475,1.0,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.970625,0.77125,1.0,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.990625,0.91625,1.0,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.997625,0.9775,1.0,0.745452999999543,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.5071249999999999,0.005,0.9975,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.71525,0.09125,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8341249999999999,0.27125,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.917875,0.50125,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.9770000000000002,0.82125,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.991875,0.9275,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.998625,0.98625,1.0,0.8218781249979656,0.0,2.5906448364257812
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.53725,0.005,0.99875,0.8849005000001853,23.81291450000208,2.5906448364257812
