model,pool_size,farthest_mean,learned_mean,delta_mean,delta_min,delta_max
BAAI/bge-small-en-v1.5,250,0.9743750000000001,0.9903333333333334,0.015958333333333297,0.013374999999999693,0.017750000000000044
intfloat/e5-small-v2,250,0.9832916666666668,0.9910833333333332,0.0077916666666665675,0.004999999999999782,0.011375000000000024
sentence-transformers/all-MiniLM-L12-v2,250,0.9747500000000001,0.9944166666666666,0.01966666666666661,0.017374999999999807,0.02199999999999991
sentence-transformers/all-MiniLM-L6-v2,250,0.9885833333333333,0.9957083333333333,0.007124999999999974,0.006124999999999936,0.008124999999999938
sentence-transformers/paraphrase-MiniLM-L3-v2,250,0.993125,0.9983333333333334,0.005208333333333259,0.004375000000000018,0.006749999999999923
sentence-transformers/paraphrase-albert-small-v2,250,0.8899583333333334,0.9707500000000001,0.08079166666666675,0.07874999999999999,0.08400000000000019
