strategy,pool_size,mean,std,min,max,runs
farthest_row_zscore,250,0.9673472222222222,0.035324501538600894,0.8857499999999999,0.9940000000000001,18
learned_top256,250,0.9901041666666668,0.009125689661913482,0.9697500000000001,0.999125,18
learned_weighted_bank,250,0.993451388888889,0.0034945738913490774,0.9845000000000002,0.998,18
random_row_zscore,250,0.9541319444444445,0.04281903279886463,0.857375,0.9888750000000001,18
